vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
1,2016-01-20 18:17:30,2016-01-20 18:30:08,1,2.2,,,-74.00520324707031,40.72043228149414,-74.00096130371094,40.74638748168945,1,N,2,10.5,1.0,0.5,0.3,0.0,0.0,12.3
2,2016-01-17 21:51:05,2016-01-17 21:56:16,2,1.27,,,-73.95694732666016,40.78014373779297,-73.97642517089844,40.788360595703125,1,N,1,6.5,0.5,0.5,0.3,1.56,0.0,9.36
2,2016-01-04 23:36:25,2016-01-04 23:38:54,1,0.52,,,-73.98079681396484,40.753387451171875,-73.98540496826172,40.75221633911133,1,N,1,4.0,0.5,0.5,0.3,1.06,0.0,6.36
2,2016-01-15 23:21:19,2016-01-15 23:23:50,1,0.69,,,-73.9698715209961,40.789710998535156,-73.97767639160156,40.78681945800781,1,N,2,4.0,0.5,0.5,0.3,0.0,0.0,5.3
1,2016-01-25 17:09:14,2016-01-25 17:38:20,2,3.2,,,-73.98509216308594,40.746543884277344,-74.01141357421875,40.7078857421875,1,N,1,18.5,1.0,0.5,0.3,4.05,0.0,24.35
2,2016-01-10 13:18:41,2016-01-10 13:33:59,1,3.64,,,-73.95655059814453,40.767051696777344,-73.9563980102539,40.7470817565918,1,N,1,14.5,0.0,0.5,0.3,3.06,0.0,18.36
2,2016-01-08 21:40:22,2016-01-08 21:47:52,1,1.17,,,-73.98892211914062,40.73678970336914,-73.97802734375,40.75122833251953,1,N,2,7.0,0.5,0.5,0.3,0.0,0.0,8.3
1,2016-01-19 11:10:17,2016-01-19 11:42:40,1,2.9,,,-74.00538635253906,40.7400016784668,-73.97435760498047,40.75989532470703,1,N,2,19.5,0.0,0.5,0.3,0.0,0.0,20.3
1,2016-01-10 10:06:53,2016-01-10 10:12:03,2,0.5,,,-73.97455596923828,40.756370544433594,-73.96826171875,40.75544357299805,1,N,1,5.0,0.0,0.5,0.3,1.2,0.0,7.0
1,2016-01-22 23:38:13,2016-01-22 23:42:59,1,0.8,,,-73.96147918701172,40.764713287353516,-73.95406341552734,40.77040481567383,1,N,1,5.5,0.5,0.5,0.3,1.0,0.0,7.8
2,2016-01-08 20:35:39,2016-01-08 20:43:16,1,1.02,,,-73.98100280761719,40.75033187866211,-73.98050689697266,40.741661071777344,1,N,2,6.5,0.5,0.5,0.3,0.0,0.0,7.8
2,2016-01-11 13:40:42,2016-01-11 13:52:15,1,1.08,,,-73.95951080322266,40.777061462402344,-73.96990203857422,40.76234817504883,1,N,2,8.5,0.0,0.5,0.3,0.0,0.0,9.3
2,2016-01-13 10:47:39,2016-01-13 10:57:16,1,1.74,,,-73.9652099609375,40.76626205444336,-73.98152923583984,40.744720458984375,1,N,2,8.5,0.0,0.5,0.3,0.0,0.0,9.3
1,2016-01-20 14:28:18,2016-01-20 14:48:44,1,2.9,,,-73.98245239257812,40.76837158203125,-73.96719360351562,40.80200958251953,1,N,1,15.0,0.0,0.5,0.3,1.0,0.0,16.8
2,2016-01-16 16:13:00,2016-01-16 16:15:03,1,0.39,,,-74.01728820800781,40.708614349365234,-74.01665496826172,40.70479202270508,1,N,2,3.5,0.0,0.5,0.3,0.0,0.0,4.3
1,2016-01-01 16:17:31,2016-01-01 16:24:11,1,1.8,,,-73.97966766357422,40.74668884277344,-73.99056243896484,40.724910736083984,1,N,1,8.0,0.0,0.5,0.3,1.76,0.0,10.56
2,2016-01-11 17:25:49,2016-01-11 17:35:13,1,1.13,,,-73.95378875732422,40.766841888427734,-73.96852111816406,40.7640495300293,1,N,1,7.5,1.0,0.5,0.3,1.86,0.0,11.16
2,2016-01-16 10:28:59,2016-01-16 10:39:18,1,2.24,,,-73.95684814453125,40.77981185913086,-73.97467803955078,40.752079010009766,1,N,2,10.0,0.0,0.5,0.3,0.0,0.0,10.8
1,2016-01-19 05:52:29,2016-01-19 06:02:59,1,2.0,,,-73.98914337158203,40.77433395385742,-73.97759246826172,40.75563049316406,1,N,1,9.5,0.5,0.5,0.3,1.2,0.0,12.0
2,2016-01-03 00:47:27,2016-01-03 00:56:07,5,2.12,,,-74.00133514404297,40.73109436035156,-73.98230743408203,40.75729751586914,1,N,2,8.5,0.5,0.5,0.3,0.0,0.0,9.8
1,2016-01-04 22:02:57,2016-01-04 22:06:30,2,0.8,,,-73.99109649658203,40.749568939208984,-73.9990005493164,40.73918914794922,1,N,1,5.0,0.5,0.5,0.3,1.0,0.0,7.3
1,2016-01-06 19:42:03,2016-01-06 19:45:23,1,0.9,,,-73.96315002441406,40.76642990112305,-73.95411682128906,40.777183532714844,1,N,1,5.0,0.5,0.5,0.3,1.0,0.0,7.3
2,2016-01-26 13:36:21,2016-01-26 13:47:44,1,2.13,,,-74.01017761230469,40.72050094604492,-74.00711059570312,40.703819274902344,1,N,1,10.0,0.0,0.5,0.3,2.16,0.0,12.96
2,2016-01-01 05:30:24,2016-01-01 05:33:22,5,0.61,,,0.0,0.0,0.0,0.0,1,N,1,4.0,0.5,0.5,0.3,3.3,0.0,8.6
1,2016-01-19 22:46:05,2016-01-19 22:57:54,1,2.8,,,-73.95330047607422,40.7757453918457,-73.98908233642578,40.771583557128906,1,N,1,11.5,0.5,0.5,0.3,1.5,0.0,14.3
2,2016-01-08 15:23:58,2016-01-08 15:42:22,1,2.11,,,-74.00250244140625,40.73029708862305,-74.00100708007812,40.727027893066406,1,N,1,12.5,0.0,0.5,0.3,2.66,0.0,15.96
1,2016-01-21 09:49:17,2016-01-21 10:01:20,1,1.5,,,-73.9616928100586,40.770198822021484,-73.97850799560547,40.758216857910156,1,N,1,9.0,0.0,0.5,0.3,2.9,0.0,12.7
1,2016-01-22 11:59:48,2016-01-22 12:22:34,1,4.1,,,-73.95420837402344,40.766395568847656,-73.99311828613281,40.73350143432617,1,N,1,17.5,0.0,0.5,0.3,3.65,0.0,21.95
1,2016-01-15 16:11:44,2016-01-15 16:23:53,1,3.2,,,-74.01499938964844,40.71403503417969,-73.99520874023438,40.749610900878906,1,N,1,12.5,1.0,0.5,0.3,2.0,0.0,16.3
2,2016-01-11 12:42:55,2016-01-11 12:44:17,2,0.17,,,-73.97843170166016,40.75702667236328,-73.97893524169922,40.75594711303711,1,N,2,3.0,0.0,0.5,0.3,0.0,0.0,3.8
2,2016-01-03 13:22:41,2016-01-03 13:29:29,1,1.43,,,-73.98197937011719,40.7523078918457,-73.9639663696289,40.75678634643555,1,N,2,7.0,0.0,0.5,0.3,0.0,0.0,7.8
